 개방자치단체코드 , 관리번호 , 인허가일자 , 인허가취소일자 , 영업상태코드 , 영업상태명 , 상세영업상태코드 , 상세영업상태명 , 폐업일자 , 휴업시작일자 , 휴업종료일자 , 재개업일자 , 전화번호 , 소재지면적 , 소재지우편번호 , 지번주소 , 도로명주소 , 도로명우편번호 , 사업장명 , 최종수정일자 , 데이터갱신구분 , 데이터갱신일자 , 업태구분명 , 좌표정보(X) , 좌표정보(Y) , 위생업태명 , 남성종사자수 , 여성종사자수 , 영업장주변구분명 , 등급구분명 , 급수시설구분명 , 총인원 , 본사종업원수 , 공장사무직종업원수 , 공장판매직종업원수 , 공장생산직종업원수 , 건물소유구분명 , 보증액 , 월세액 , 다중이용업소여부 , 시설총규모 , 전통업소지정번호 , 전통업소주된음식 , 홈페이지 ,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
3130000, 3130000-102-2002-00004 ,20021029,  ,3, 폐업 ,2, 폐업 ,20130620,  ,  ,  ,231420029,82.4,121885, 서울특별시 마포구 합정동 382-22번지 지하1층  ,  ,  , ?? ,2.00806E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,  ,  , 룸살롱 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , N ,82.4,  ,  ,  ,서울특별시 마포구 합정동 382-22번지 지하1층  ,126.9104317,37.5488589,인근좌표,11440,구주소,,서울특별시 마포구 합정동 382-22,NULL,1144068000,합정동,1144012200,합정동
3230000, 3230000-102-2014-00001 ,20140321,  ,1, 영업/정상 ,1, 영업 ,  ,  ,  ,  ,  ,79.47,138827, 서울특별시 송파구 방이동 34-4번지  , 서울특별시 송파구 올림픽로32길 4 지하동 1층 (방이동) ,5542, ? ,2.01712E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,209542.7468,445930.6216, 룸살롱 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , N ,79.47,  ,  ,  ,서울특별시 송파구 방이동 34-4번지  ,127.1087264,37.5155525,정좌표,1.17101E+18,구주소,서울특별시 송파구 올림픽로32길 4,서울특별시 송파구 방이동 34-4,5542,1171056200,방이2동,1171011100,방이동
3220000, 3220000-102-2001-23094 ,20010220,  ,3, 폐업 ,2, 폐업 ,20040525,  ,  ,  ,2,221.88,135825, 서울특별시 강남구 논현동 164-0번지 지상3?  ,  ,  , 준 ,2.00303E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,201962.8388,445158.312, 룸살롱 ,  ,  , 기타 , 자율 , 상수도전용 ,  ,  ,  ,  ,  ,  ,  ,  , N ,221.88,  ,  ,  ,서울특별시 강남구 논현동 164-0번지 지상3?  ,127.0229932,37.5086392,정좌표,1.16801E+18,구주소,서울특별시 강남구 강남대로 520,서울특별시 강남구 논현동 164,6114,1168052100,논현1동,1168010800,논현동
3220000, 3220000-102-2001-23159 ,20010307,  ,3, 폐업 ,2, 폐업 ,20060110,  ,  ,  , 02 5186744 ,286.95,135957, 서울특별시 강남구 청담동 132-17번지 지하1층  ,  ,  , 분더? ,2.0051E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,204964.3781,446579.7147, 룸살롱 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , N ,286.95,  ,  ,  ,서울특별시 강남구 청담동 132-17번지 지하1층  ,127.0569005,37.5214213,정좌표,1.16801E+18,구주소,서울특별시 강남구 영동대로 712,서울특별시 강남구 청담동 132-17,6075,1168056500,청담동,1168010400,청담동
3210000, 3210000-102-2001-15541 ,20010215,  ,3, 폐업 ,2, 폐업 ,20030512,  ,  ,  , 02 5810173 ,171.36,137860, 서울특별시 서초구 서초동 1337-23번지 지상4층  ,  ,  , ?2(Sharp2) ,2.0021E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,  ,  , 룸살롱 ,0,0, 기타 , 기타 ,  ,  ,  ,  ,  ,  ,  ,  ,  , N ,171.36,  ,  ,  ,서울특별시 서초구 서초동 1337-23번지 지상4층  ,127.0292569,37.4922286,인근좌표,11650,구주소,,서울특별시 서초구 서초동 1337-23,NULL,,,1165010800,서초동
3210000, 3210000-102-2001-15542 ,20010215,  ,3, 폐업 ,2, 폐업 ,20030416,  ,  ,  ,234743363,198.7,137860, 서울특별시 서초구 서초동 1337-23번지 지상3층  ,  ,  , ?(Sharp) ,2.00301E+13, I , 2018-08-31 23:59:59.0 , 룸살롱 ,  ,  , 룸살롱 ,0,0, 유흥업소밀집지역 , 기타 ,  ,  ,  ,  ,  ,  ,  ,  ,  , N ,198.7,  ,  ,  ,서울특별시 서초구 서초동 1337-23번지 지상3층  ,127.0292569,37.4922286,인근좌표,11650,구주소,,서울특별시 서초구 서초동 1337-23,NULL,,,1165010800,서초동
3050000, 3050000-102-1971-08443 ,19710819,  ,3, 폐업 ,2, 폐업 ,20220404,  ,  ,  ,222177661,84.87,130854, 서울특별시 동대문구 전농동 295-7 지하1층 , 서울특별시 동대문구 사가정로 111 지하1층 (전농동) ,2547, 에스 ,2.02204E+13, U , 2021-12-04 00:07:00.0 , 스텐드바 ,204957.734,452803.9615,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,서울특별시 동대문구 전농동 295-7 지하1층 ,127.0569067,37.5775204,정좌표,1.12301E+18,구주소,서울특별시 동대문구 사가정로 111,서울특별시 동대문구 전농동 295-7,2547,1123056000,전농1동,1123010400,전농동
3110000, 3110000-102-2000-07311 ,20000614,  ,1, 영업/정상 ,1, 영업 ,  ,  ,  ,  ,  ,73.82,122808, 서울특별시 은평구 갈현동 395-28 , 서울특별시 은평구 통일로 863-8 (갈현동) ,3330, 벤츠 ,2.02205E+13, U , 2021-12-04 22:00:00.0 , 룸살롱 ,192841.2925,457500.73,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,서울특별시 은평구 갈현동 395-28 ,126.919705,37.6198191,정좌표,1.13801E+18,구주소,서울특별시 은평구 통일로 863-8,서울특별시 은평구 갈현동 395-28,3330,1138055100,갈현1동,1138010400,갈현동
3090000, 3090000-102-2010-00001 ,20100819,  ,1, 영업/정상 ,1, 영업 ,  ,  ,  ,  , 02  991 9911 ,236.34,132898, 서울특별시 도봉구 창동 12-1 2층 201202203204호 , 서울특별시 도봉구 노해로69길 21-11 2층 201202203204호 (창동) ,1414, 챔프노래타운 ,2.0221E+13, U , 2021-10-30 23:03:00.0 , 룸살롱 ,204348.91,461195.825,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,서울특별시 도봉구 창동 12-1 2층 201202203204호 ,127.0500695,37.6531345,정좌표,1.13201E+18,구주소,서울특별시 도봉구 노해로69길 21-11,서울특별시 도봉구 창동 12-1,1414,1132051400,창4동,1132010700,창동
3080000, 3080000-102-2013-00001 ,20130709,  ,1, 영업/정상 ,1, 영업 ,  ,  ,  ,  , 02  902 5550 ,78.3,142878, 서울특별시 강북구 수유동 191-15 , 서울특별시 강북구 도봉로 343 (수유동) ,1074, 빠리 ,2.02204E+13, U , 2021-12-03 22:07:00.0 , 룸살롱 ,202206.6782,459574.0708,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,서울특별시 강북구 수유동 191-15 ,127.025748,37.6385016,정좌표,1.13051E+18,구주소,서울특별시 강북구 도봉로 343,서울특별시 강북구 수유동 191-15,1074,1130563500,수유3동,1130510300,수유동
