left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
966300,1942400,966400,1942500,100,28.2151,25.6272,13.10915194,966350,1942450,127.1194,37.48067169
940100,1951600,940200,1951700,100,64.9166,12.5248,9.44056836,940150,1951650,126.8223288,37.5622652
966300,1942500,966400,1942600,100,89.1028,3.8903,13.10915194,966350,1942550,127.1193954,37.48157304
940100,1951700,940200,1951800,100,59.6425,14.4076,9.44056836,940150,1951750,126.8223206,37.56316649
966300,1942600,966400,1942700,100,57.9305,15.0188,13.10915194,966350,1942650,127.1193908,37.48247439
940100,1951000,940200,1951100,100,74.3742,9.1484,9.44056836,940150,1951050,126.8223777,37.55685743
966300,1942700,966400,1942800,100,14.8955,30.3823,13.10915194,966350,1942750,127.1193862,37.48337574
940100,1951100,940200,1951200,100,40.3571,21.2925,9.44056836,940150,1951150,126.8223696,37.55775873
966000,1944800,966100,1944900,100,77.8034,7.9242,13.10915194,966050,1944850,127.1158961,37.50229306
940100,1951200,940200,1951300,100,53.2701,16.6826,9.44056836,940150,1951250,126.8223614,37.55866002
966000,1945200,966100,1945300,100,25.3215,26.6602,13.10915194,966050,1945250,127.1158776,37.50589844
940100,1951300,940200,1951400,100,28.5338,25.5134,9.44056836,940150,1951350,126.8223532,37.55956131
966000,1945300,966100,1945400,100,36.6555,22.614,13.10915194,966050,1945350,127.115873,37.50679979
940100,1950600,940200,1950700,100,13.8399,30.7592,9.44056836,940150,1950650,126.8224104,37.55325225
966000,1945400,966100,1945500,100,74.6061,9.0656,13.10915194,966050,1945450,127.1158684,37.50770113
940100,1950900,940200,1951000,100,0.1778,35.6365,9.44056836,940150,1950950,126.8223859,37.55595614
940100,1950200,940200,1950300,100,0.0142,35.6949,9.44056836,940150,1950250,126.822443,37.54964707
966000,1944600,966100,1944700,100,97.8699,0.7604,13.10915194,966050,1944650,127.1159053,37.50049037
966000,1943500,966100,1943600,100,32.7403,24.0117,13.10915194,966050,1943550,127.1159561,37.49057555
966000,1943600,966100,1943700,100,35.4618,23.0401,13.10915194,966050,1943650,127.1159515,37.4914769
940100,1950500,940200,1950600,100,18.408,29.1283,9.44056836,940150,1950550,126.8224185,37.55235096
966000,1943700,966100,1943800,100,8.7046,32.5925,13.10915194,966050,1943750,127.1159469,37.49237824
940200,1943400,940300,1943500,100,76.1497,8.5146,7.48708883,940250,1943450,126.8241281,37.4883651
940200,1943500,940300,1943600,100,64.4203,12.702,7.48708883,940250,1943550,126.82412,37.48926641
966000,1943000,966100,1943100,100,2.444,34.8275,13.10915194,966050,1943050,127.1159792,37.48606881
940200,1943900,940300,1944000,100,98.057,0.6937,7.48708883,940250,1943950,126.8240875,37.49287163
966000,1943100,966100,1943200,100,35.014,23.2,13.10915194,966050,1943150,127.1159746,37.48697016
966000,1948800,966100,1948900,100,53.0342,16.7668,13.10915194,966050,1948850,127.1157112,37.53834679
940200,1943200,940300,1943300,100,46.1481,19.2251,7.48708883,940250,1943250,126.8241443,37.48656249
940200,1943300,940300,1943400,100,45.3267,19.5184,7.48708883,940250,1943350,126.8241362,37.4874638
940100,1952200,940200,1952300,100,62.793,13.2829,9.44056836,940150,1952250,126.8222798,37.56767296
966000,1948400,966100,1948500,100,43.3584,20.2211,13.10915194,966050,1948450,127.1157297,37.53474142
966000,1948500,966100,1948600,100,85.6396,5.1267,13.10915194,966050,1948550,127.1157251,37.53564277
966000,1948600,966100,1948700,100,52.3791,17.0007,13.10915194,966050,1948650,127.1157205,37.53654411
940100,1951800,940200,1951900,100,13.8846,30.7432,9.44056836,940150,1951850,126.8223124,37.56406778
966000,1948700,966100,1948800,100,12.7813,31.1371,13.10915194,966050,1948750,127.1157159,37.53744545
966000,1948000,966100,1948100,100,0.4803,35.5285,13.10915194,966050,1948050,127.1157482,37.53113606
940100,1952000,940200,1952100,100,3.8929,34.3102,9.44056836,940150,1952050,126.8222961,37.56587037
966000,1948100,966100,1948200,100,82.9966,6.0702,13.10915194,966050,1948150,127.1157436,37.5320374
940100,1952100,940200,1952200,100,94.6339,1.9157,9.44056836,940150,1952150,126.8222879,37.56677166
966000,1948200,966100,1948300,100,64.6163,12.632,13.10915194,966050,1948250,127.115739,37.53293874
939900,1951400,940000,1951500,100,53.0032,16.7779,9.44056836,939950,1951450,126.8200807,37.56044959
966000,1948300,966100,1948400,100,25.0398,26.7608,13.10915194,966050,1948350,127.1157344,37.53384008
939900,1951500,940000,1951600,100,29.0857,25.3164,9.44056836,939950,1951550,126.8200725,37.56135088
966000,1945500,966100,1945600,100,39.1242,21.7327,13.10915194,966050,1945550,127.1158638,37.50860248
939900,1951600,940000,1951700,100,11.8316,31.4761,9.44056836,939950,1951650,126.8200643,37.56225218
966000,1946000,966100,1946100,100,30.7573,24.7196,13.10915194,966050,1946050,127.1158407,37.5131092
939900,1951700,940000,1951800,100,1.3287,35.2257,9.44056836,939950,1951750,126.8200561,37.56315347
966000,1946100,966100,1946200,100,11.3148,31.6606,13.10915194,966050,1946150,127.1158361,37.51401054
939900,1951000,940000,1951100,100,85.3019,5.2472,9.44056836,939950,1951050,126.8201135,37.55684441
966000,1947600,966100,1947700,100,29.2956,25.2415,13.10915194,966050,1947650,127.1157667,37.52753069
939900,1951100,940000,1951200,100,7.1741,33.1388,9.44056836,939950,1951150,126.8201053,37.55774571
966100,1943100,966200,1943200,100,41.536,20.8716,13.10915194,966150,1943150,127.1171057,37.48697383
939900,1951200,940000,1951300,100,76.3607,8.4392,9.44056836,939950,1951250,126.8200971,37.558647
966100,1943500,966200,1943600,100,25.3762,26.6407,13.10915194,966150,1943550,127.1170873,37.49057922
939900,1951300,940000,1951400,100,18.2702,29.1775,9.44056836,939950,1951350,126.8200889,37.5595483
966100,1943600,966200,1943700,100,64.0218,12.8442,13.10915194,966150,1943650,127.1170827,37.49148057
966100,1943700,966200,1943800,100,8.7187,32.5874,13.10915194,966150,1943750,127.1170781,37.49238192
939900,1950800,940000,1950900,100,36.48,22.6766,9.44056836,939950,1950850,126.8201299,37.55504182
966100,1942800,966200,1942900,100,18.569,29.0709,13.10915194,966150,1942850,127.1171195,37.48426978
939900,1950900,940000,1951000,100,41.516,20.8788,9.44056836,939950,1950950,126.8201217,37.55594312
966100,1942900,966200,1943000,100,27.7243,25.8024,13.10915194,966150,1942950,127.1171149,37.48517113
966100,1943000,966200,1943100,100,4.3018,34.1643,13.10915194,966150,1943050,127.1171103,37.48607248
966100,1948200,966200,1948300,100,22.1824,27.7809,13.10915194,966150,1948250,127.1168708,37.53294242
966100,1948300,966200,1948400,100,90.992,3.2159,13.10915194,966150,1948350,127.1168662,37.53384376
966100,1948400,966200,1948500,100,77.1659,8.1518,13.10915194,966150,1948450,127.1168616,37.5347451
966100,1948500,966200,1948600,100,94.894,1.8228,13.10915194,966150,1948550,127.116857,37.53564644
939900,1952300,940000,1952400,100,17.7726,29.3552,9.44056836,939950,1952350,126.820007,37.56856123
966100,1947600,966200,1947700,100,36.5807,22.6407,13.10915194,966150,1947650,127.1168985,37.52753437
939900,1952400,940000,1952500,100,38.935,21.8002,9.44056836,939950,1952450,126.8199988,37.56946252
